TNFRSF18	chr1	1203508	1206592
TNFRSF4	chr1	1211326	1214153
MXRA8	chr1	1352689	1361777
TNFRSF14	chr1	2554244	2565382
RPL22	chr1	6185020	6209389
TNFRSF9	chr1	7915871	7943165
MTOR	chr1	11106531	11262556
NPPB	chr1	11857464	11858976
TNFRSF1B	chr1	12166977	12209228
EPHA2	chr1	16124337	16156069
C1QA	chr1	22635057	22639681
C1QC	chr1	22642558	22648110
C1QB	chr1	22652713	22661637
EPHB2	chr1	22710839	22921500
IL22RA1	chr1	24119771	24143165
RUNX3	chr1	24899511	24965121
STMN1	chr1	25884181	25907237
CD52	chr1	26317958	26320523
HMGN2	chr1	26472013	26478209
SFN	chr1	26863149	26864456
FGR	chr1	27612064	27635565
COL16A1	chr1	31652260	31704319
ADGRB2	chr1	31727117	31764893
HDAC1	chr1	32291921	32333635
CSF3R	chr1	36465669	36483322
RSPO1	chr1	37610802	37635604
COL9A2	chr1	40300487	40317813
SLC2A1	chr1	42925353	42958893
TIE1	chr1	43300971	43323108
ARTN	chr1	43933320	43937244
TACSTD2	chr1	58575433	58577252
JUN	chr1	58776845	58784048
ROR1	chr1	63774017	64181498
JAK1	chr1	64833223	65067754
IL12RB2	chr1	67307364	67398724
ST6GALNAC3	chr1	76074746	76634603
ADGRL4	chr1	78889764	79282124
ADGRL2	chr1	81306112	81993940
VCAM1	chr1	100719684	100739045
COL11A1	chr1	102876467	103108872
CELSR2	chr1	109249539	109275751
CSF1	chr1	109910242	109930993
CD53	chr1	110871176	110899936
WNT2B	chr1	112466541	112530165
CD58	chr1	116514534	116571039
CD2	chr1	116754370	116769229
HSD3B2	chr1	119413725	119423035
NOTCH2	chr1	119911553	120100779
S100A10	chr1	151982903	151993859
S100A9	chr1	153357767	153361027
S100A8	chr1	153390032	153391142
S100A6	chr1	153534591	153536549
S100A4	chr1	153543613	153550136
S100A2	chr1	153560950	153568674
NPR1	chr1	153677965	153694110
IL6R	chr1	154405193	154469450
EFNA4	chr1	155063737	155069553
EFNA1	chr1	155127876	155134899
LMNA	chr1	156082572	156140081
CD5L	chr1	157830911	157898256
ACKR1	chr1	159204568	159206500
CRP	chr1	159712289	159714589
CD84	chr1	160541095	160579516
CD48	chr1	160678746	160711831
FCER1G	chr1	161215234	161220699
FCGR3A	chr1	161541759	161550968
